account_id,score
ACC002257,0.08145103410694099
ACC007539,0.08145103410694099
ACC007580,0.08117268200973926
ACC009923,0.07867174600662985
ACC000691,0.0764550751538089
ACC002374,0.07452040317589026
ACC007306,0.07452040317589026
ACC006304,0.07452040317589026
ACC006837,0.07424439526717597
ACC006811,0.07148944554220782
ACC002175,0.07039007255103502
ACC007760,0.06984094366942384
ACC008020,0.06518831842254769
ACC005454,0.06518831842254769
ACC009073,0.06518831842254769
ACC004049,0.06409746617781176
ACC007178,0.062463953024375796
ACC008591,0.060019891710916595
ACC005427,0.05789374664475089
ACC006025,0.057583260363907596
ACC001035,0.05704279346554175
ACC001146,0.05677269711262689
ACC003178,0.056389982545971495
ACC001815,0.05542358507462808
ACC004089,0.05515403639618999
ACC008286,0.05192655478491892
ACC007803,0.05165818892781804
ACC009375,0.05138991384169578
ACC005465,0.0479105839259204
ACC003594,0.046043426819558975
ACC008971,0.04471244763531368
ACC000570,0.042587558116673696
ACC007404,0.0422116442958379
ACC005104,0.04205723367372305
ACC005642,0.04205723367372305
ACC008443,0.04020392120685101
ACC000745,0.0394109869429663
ACC007425,0.03914685430075482
ACC000291,0.03864154486929472
ACC001180,0.038091216821315665
ACC003878,0.03756393351244247
ACC008495,0.03545836418576975
ACC005343,0.03519556846264338
ACC008574,0.02865448562963191
ACC009279,0.02865448562963191
ACC007372,0.027873266705000566
ACC006983,0.027613036534472224
ACC002429,0.02320256631008366
ACC001692,0.022685353051382973
ACC003769,0.02165197576054989
ACC002986,0.02113581125536923
ACC001951,0.02010452934405882
ACC006843,0.02010452934405882
ACC007822,0.019466905042979987
ACC002286,0.016762484539611155
ACC000760,0.015480991203855043
ACC009960,0.015242368333477141
ACC006032,0.015224952546314952
ACC003258,0.014713135006373279
ACC005092,0.013712501094538143
ACC006100,0.013690538207222103
ACC001791,0.013179758479899384
ACC001404,0.012159235200663865
ACC002071,0.009359906249142624
ACC005439,0.009105937962543442
ACC001865,0.008852055577147189
ACC008278,0.008344548393753648
ACC002440,0.008090923537676153
ACC008856,0.0075839311516323615
ACC002806,0.007278027792756214
ACC003731,0.0070772816736823785
ACC001944,0.005653106271849451
ACC008841,0.005054108206602459
ACC007675,0.00489521913349189
ACC003425,0.004466639792588656
ACC006366,0.004390388186032768
ACC003629,0.004390388186032768
