account_id,score,rule_score,ml_score,out_degree
ACC002440,0.6437086264287575,1,0.1092715660718937,15
ACC000691,0.6416536607219306,1,0.10413415180482677,14
ACC003278,0.633842653316201,1,0.08460663329050266,14
ACC003276,0.6302777238151155,1,0.07569430953778888,12
ACC005006,0.6280284154985637,1,0.07007103874640919,17
ACC007449,0.6278648416584304,1,0.06966210414607588,11
ACC005143,0.6263304862504204,1,0.06582621562605107,11
ACC007306,0.6252757111950378,1,0.06318927798759455,12
ACC007786,0.6233869187376464,1,0.058467296844116,13
ACC001895,0.6231080131589388,1,0.05777003289734717,13
ACC001791,0.6225453155259176,1,0.05636328881479424,11
ACC002414,0.6218338360339902,1,0.05458459008497574,12
ACC004873,0.6197288747097486,1,0.04932218677437161,13
ACC006943,0.619061891287985,1,0.04765472821996275,13
ACC006366,0.619030420818982,1,0.04757605204745485,13
ACC001914,0.6188206828582555,1,0.047051707145639,15
ACC007371,0.6187323224336655,1,0.04683080608416368,12
ACC005343,0.6178123561377485,1,0.0445308903443713,13
ACC006374,0.6177323604320961,1,0.04433090108024029,13
ACC008270,0.6174438229177724,1,0.04360955729443117,11
ACC006566,0.6166846918232182,1,0.041711729558045474,14
ACC009424,0.616284963809779,1,0.04071240952444766,12
ACC009012,0.6150608395025917,1,0.03765209875647929,12
ACC005500,0.6147643261505308,1,0.036910815376326955,11
ACC006921,0.6144259088194537,1,0.03606477204863423,17
ACC002175,0.6141693028775035,1,0.03542325719375877,11
ACC008750,0.6128975750924416,1,0.0322439377311039,12
ACC007260,0.6126918259927984,1,0.03172956498199608,13
ACC002962,0.6126219966462432,1,0.031554991615607986,11
ACC000486,0.6124074873983877,1,0.031018718495969377,12
ACC002374,0.6123655081331872,1,0.03091377033296805,13
ACC001146,0.6123020959314326,1,0.030755239828581638,13
ACC002014,0.6122519008254466,1,0.030629752063616567,11
ACC000640,0.6120729460901773,1,0.030182365225443264,11
ACC000612,0.6116461538605278,1,0.02911538465131941,17
ACC004769,0.611165461391692,1,0.027913653479230027,12
ACC006564,0.6111269544275105,1,0.027817386068776373,12
ACC008379,0.6106441941047182,1,0.026610485261795325,11
ACC000326,0.6106150673324215,1,0.02653766833105381,12
ACC005119,0.6105651444348281,1,0.026412861087070416,15
ACC001477,0.6102660762414317,1,0.025665190603579358,11
ACC003885,0.6094136159026312,1,0.023534039756578085,13
ACC009026,0.6093214388041314,1,0.023303597010328414,11
ACC008605,0.609287722293892,1,0.023219305734730078,13
ACC007264,0.6088889437425832,1,0.022222359356457888,12
ACC006782,0.608884667832741,1,0.022211669581852556,14
ACC002229,0.6085558925644583,1,0.021389731411145696,12
ACC008202,0.6084467302906225,1,0.02111682572655621,11
ACC008715,0.6082683956622336,1,0.020670989155584074,11
ACC001790,0.6081257335093546,1,0.02031433377338654,11
ACC005384,0.60802882216418,1,0.020072055410449985,13
ACC006762,0.6076360847935381,1,0.019090211983845362,11
ACC000457,0.6071854606916354,1,0.017963651729088426,13
ACC003432,0.6069927014126287,1,0.017481753531571886,12
ACC004913,0.6067829848136764,1,0.016957462034191184,11
ACC002150,0.6067358905882257,1,0.016839726470564365,11
ACC004895,0.6066340309690171,1,0.016585077422542893,14
ACC007183,0.6065346706117873,1,0.016336676529468297,14
ACC009349,0.6064955214514497,1,0.016238803628624177,14
ACC005410,0.606384261850378,1,0.01596065462594498,13
ACC008591,0.6062540172364203,1,0.01563504309105057,14
ACC009871,0.6062507502998477,1,0.015626875749619296,11
ACC008272,0.6061930610339973,1,0.015482652584993373,12
ACC005437,0.6057878469772814,1,0.014469617443203464,11
ACC002585,0.6057588185132035,1,0.014397046283008641,13
ACC009062,0.6053706989916028,1,0.013426747479007073,14
ACC006294,0.60531436590842,1,0.013285914771050011,11
ACC002262,0.6043742880140937,1,0.010935720035234187,11
ACC003056,0.60435056399955,1,0.010876409998875014,12
ACC007697,0.6042798869957342,1,0.01069971748933557,11
ACC004940,0.6042665643383157,1,0.010666410845789287,12
ACC003425,0.604241331399739,1,0.010603328499347697,13
ACC008871,0.6039105746209509,1,0.00977643655237731,12
ACC000406,0.6039028015603122,1,0.009757003900780603,12
ACC009094,0.6038930125234123,1,0.009732531308530745,12
ACC001036,0.6038529594412153,1,0.009632398603038328,11
ACC001909,0.6037495174053,1,0.00937379351325024,13
ACC001497,0.6037078468190175,1,0.009269617047543643,12
ACC005770,0.6037071600156888,1,0.009267900039222121,11
ACC008020,0.6033970555769341,1,0.008492638942335429,11
ACC005488,0.6031915361029304,1,0.007978840257325981,13
ACC004921,0.6031704048095838,1,0.007926012023959761,13
ACC007960,0.6031450764439275,1,0.007862691109818576,13
ACC008537,0.6028879515532326,1,0.00721987888308151,13
ACC007025,0.602726193690144,1,0.006815484225360213,11
ACC003757,0.6025664197267868,1,0.0064160493169672095,11
ACC005328,0.6024282707845795,1,0.0060706769614489176,12
ACC003731,0.6020782962094042,1,0.005195740523510739,16
ACC005314,0.6020576249194,1,0.005144062298500007,13
ACC009381,0.601952786182059,1,0.004881965455147741,14
ACC007284,0.6019374310717738,1,0.0048435776794344965,11
ACC006800,0.6018958115890338,1,0.004739528972584728,11
ACC004646,0.6018373826849933,1,0.004593456712483401,13
ACC008037,0.6017908829455954,1,0.004477207363988378,12
ACC004551,0.6017137143270621,1,0.004284285817655442,11
ACC001865,0.6016732647623136,1,0.004183161905784161,18
ACC000991,0.6016000576827943,1,0.004000144206985912,12
ACC004089,0.6015618004835438,1,0.0039045012088595454,14
ACC008971,0.6015081316404884,1,0.0037703291012212703,14
ACC006484,0.60145947530966,1,0.0036486882741502136,11
ACC005336,0.6014491449213036,1,0.0036228623032591445,12
ACC000284,0.6014232775389354,1,0.003558193847338742,11
