sender_id,receiver_id,tx_count,total_amount
ACC000000,ACC001394,1,12.70351919045674
ACC000000,ACC002553,1,26.879191661930328
ACC000000,ACC003196,1,112.2692729475822
ACC000000,ACC003671,1,42.677952232850664
ACC000000,ACC004226,1,32.72356801341192
ACC000000,ACC004898,1,29.64303092865946
ACC000000,ACC005753,1,104.48014735689522
ACC000000,ACC006302,1,85.32018214893957
ACC000000,ACC006340,1,16.923787752817816
ACC000000,ACC008887,1,22.76946784315781
ACC000000,ACC009667,1,46.75623804063744
ACC000001,ACC002799,1,17.221891592915245
ACC000001,ACC003288,1,21.849409292549293
ACC000001,ACC004042,1,111.46018043993283
ACC000001,ACC004240,1,27.352834742697834
ACC000001,ACC004258,1,26.92136219225845
ACC000001,ACC006997,1,92.51414503159707
ACC000001,ACC007660,1,24.78777859906784
ACC000001,ACC009323,1,43.91650636592193
ACC000002,ACC000006,1,57.3391008073809
ACC000002,ACC000642,1,13.851048066653522
ACC000002,ACC002916,1,47.42609541025396
ACC000002,ACC003705,1,45.15331687554169
ACC000002,ACC004529,1,41.97095344270254
ACC000002,ACC006510,1,39.24414716471717
ACC000002,ACC007050,1,52.49277559703209
ACC000002,ACC007204,1,32.426318996915036
ACC000002,ACC007606,1,131.7198824214254
ACC000003,ACC002643,1,28.4625019036148
ACC000003,ACC003226,1,59.81748103941285
ACC000003,ACC003404,1,22.598212225809423
ACC000003,ACC005680,1,13.6200571793004
ACC000003,ACC006009,1,32.38200072496234
ACC000004,ACC000590,1,16207.691028324654
ACC000004,ACC002368,1,8.455210906621026
ACC000004,ACC002429,1,50.057798200044346
ACC000004,ACC004187,1,34.31602100214401
ACC000004,ACC004297,1,30.73856846543236
ACC000004,ACC007875,1,28.74855698212606
ACC000004,ACC009210,1,21.421817711194524
ACC000005,ACC001433,1,16.700433108934405
ACC000005,ACC003989,1,17.40720896148706
ACC000005,ACC004159,1,37.27144501428683
ACC000005,ACC005113,1,47.78600523394339
ACC000005,ACC005360,1,19.568483783083977
ACC000005,ACC006998,1,52.496185078285116
ACC000005,ACC007413,1,29.925759015212922
ACC000005,ACC007470,1,87.5461844908798
ACC000005,ACC007972,1,13.567429580503767
