account_id,seq_len_norm,last_amount_1,last_gap_1,last_amount_2,last_gap_2,last_amount_3,last_gap_3,last_amount_4,last_gap_4,last_amount_5,last_gap_5,last_amount_6,last_gap_6,last_amount_7,last_gap_7,last_amount_8,last_gap_8,last_amount_9,last_gap_9,last_amount_10,last_gap_10
ACC000000,1.0,42.67795223285066,462900.594056,26.879191661930328,325823.753641,22.76946784315781,426661.848793,104.48014735689522,783051.09239,29.64303092865946,2152681.590614,32.72356801341192,622016.377435,16.923787752817816,24774.90842,12.70351919045674,1255126.406106,46.75623804063744,24966.847673,112.2692729475822,1736136.244331
ACC000001,0.8,0.0,0.0,0.0,0.0,43.91650636592193,0.0,17.221891592915245,2678179.902261,26.92136219225845,3116966.743505,27.352834742697837,1279381.02113,24.78777859906784,69682.006633,92.51414503159708,28596.028372,111.46018043993284,258497.229498,21.849409292549293,586577.145942
ACC000002,0.9,0.0,0.0,57.3391008073809,0.0,13.851048066653522,1041696.391128,131.7198824214254,538008.377659,41.97095344270254,1780512.058002,45.15331687554169,266931.329179,39.24414716471717,1383108.506338,32.42631899691504,882629.297139,52.49277559703209,406498.562683,47.42609541025396,1752214.056761
ACC000003,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.598212225809423,0.0,28.4625019036148,2104678.569729,32.38200072496234,678110.969961,59.81748103941285,791918.063235,13.6200571793004,2590396.056303
ACC000004,0.7,0.0,0.0,0.0,0.0,0.0,0.0,8.455210906621026,0.0,21.421817711194524,357970.932531,50.057798200044346,1980501.973042,28.74855698212606,1549933.726084,30.73856846543236,3988739.16212,16207.691028324654,566995.675423,34.31602100214401,122213.865473
ACC000005,1.0,29.92575901521292,198831.439196,46.58194426510228,479186.447119,32.94644469061595,1586705.129621,16.700433108934405,431445.88617,47.78600523394339,55224.994529,13.567429580503768,337649.526513,37.27144501428683,2095742.275078,19.568483783083977,1807663.673187,87.5461844908798,364603.686051,52.49618507828512,584268.916338
ACC000006,1.0,28.095182578131737,356616.138788,61.84251232049404,4983.501177,15.755819021242626,233843.426701,212.45398908183856,486388.137027,26.49133984852775,137439.130814,73.65971498448143,359803.111324,59.37168991616079,1617685.502886,90.06021312884631,441656.306931,51.04348747513352,1216744.561263,28.43768063385509,4062261.106478
ACC000007,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.97398688974034,0.0,58.4629567875047,1987573.549372,66.40276176164566,925079.018094
ACC000008,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.27574209212104,0.0,5.809997048050681,444184.66628,40.09992623110772,2146245.420984,143.24988482591067,421285.235824,37.76778790956305,795341.091514
ACC000009,1.0,95.08915435544128,0.0,27.705927709883653,2764465.025392,33.29178035518885,98346.466983,11.987488228186482,672739.764161,77.37082614222608,796901.508188,37.23821300957355,673768.724005,33.68640623084849,86416.300329,31.63159040507076,610022.067569,70.39754613497819,448971.125845,14.512427744259192,401562.803461
ACC000010,1.0,20.46818480931031,188679.873002,20.243369649175197,1962975.149486,11.28178062825793,338477.190452,10.959655853668387,957973.408688,58.22836194537556,267511.343299,31.813514654200024,1397095.037571,58.7557724463728,779984.339799,19.77801285583325,264467.219174,30.7231229363034,2468495.697631,51.8285151224763,279230.610572
ACC000011,0.9,0.0,0.0,122.37573537927528,0.0,98.10382524877387,1708534.389384,5.692448289088607,1050508.691679,7.812337855879054,3162546.003772,94.93209250719823,1641390.52817,598.3565950334593,749796.964561,18.68733041995163,50761.138644,50.40705908492641,542352.732396,70.59656109427006,46501.362453
ACC000012,1.0,147.53075325881488,398454.088353,60.196447227251255,541345.983486,14.931138854975623,702362.677458,42.2424783241212,2124237.311907,17.365843560209733,221823.788588,21.54819467831546,1286887.124208,12.844265970410715,1192956.767593,23.880439116569477,545141.176521,47.08255332431936,158678.528286,16.251993642309348,98488.186997
